,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
1403,121,112,29,8,7.875,0.125,765.0,641.75,123.25
1404,121,113,23,3,5.33333333333,-2.33333333333,757.0,741.666666667,15.3333333333
1405,121,113,28,8,8.125,-0.125,640.0,675.5,-35.5
1406,121,114,28,8,7.75,0.25,657.0,680.75,-23.75
1407,121,115,28,7,7.71428571429,-0.714285714286,663.0,699.571428571,-36.5714285714
1408,121,116,24,2,3.0,-1.0,679.0,774.0,-95.0
1409,121,116,35,6,4.66666666667,1.33333333333,603.0,611.833333333,-8.83333333333
1410,121,117,29,7,7.42857142857,-0.428571428571,713.0,762.0,-49.0
1411,121,117,35,7,4.42857142857,2.57142857143,616.0,620.714285714,-4.71428571429
1412,121,118,29,7,7.57142857143,-0.571428571429,612.0,763.857142857,-151.857142857
1413,121,118,30,7,7.57142857143,-0.571428571429,917.0,720.285714286,196.714285714
1414,121,118,35,4,5.0,-1.0,647.0,626.5,20.5
1415,121,119,29,8,6.875,1.125,611.0,708.0,-97.0
1416,121,119,30,8,6.875,1.125,815.0,682.5,132.5
1417,121,120,24,2,2.5,-0.5,679.0,633.5,45.5
1418,121,120,29,7,6.28571428571,0.714285714286,653.0,652.285714286,0.714285714286
1419,121,121,30,5,5.6,-0.6,623.0,625.0,-2.0
1420,121,126,32,4,4.75,-0.75,638.0,605.75,32.25
1421,121,131,33,2,3.0,-1.0,707.0,655.5,51.5
1422,121,133,33,6,6.0,0.0,724.0,709.833333333,14.1666666667
1423,121,134,33,8,6.75,1.25,678.0,730.125,-52.125
1424,121,135,33,8,7.75,0.25,700.0,713.375,-13.375
1425,121,136,33,8,8.0,0.0,714.0,712.375,1.625
1426,121,137,33,8,8.0,0.0,704.0,706.75,-2.75
1427,121,137,35,2,2.0,0.0,640.0,611.5,28.5
1428,121,138,33,8,8.25,-0.25,654.0,708.625,-54.625
1429,121,139,33,8,8.5,-0.5,667.0,720.125,-53.125
1430,121,140,14,1,2.0,-1.0,783.0,772.0,11.0
1431,121,140,33,8,8.5,-0.5,767.0,734.75,32.25
1432,121,141,33,8,7.875,0.125,765.0,782.5,-17.5
1433,121,142,33,7,7.71428571429,-0.714285714286,808.0,803.857142857,4.14285714286
1434,121,143,33,8,8.0,0.0,875.0,805.125,69.875
1435,121,144,33,10,9.0,1.0,843.0,790.2,52.8
1436,121,145,32,10,9.1,0.9,721.0,778.5,-57.5
1437,121,145,33,11,8.54545454545,2.45454545455,862.0,759.363636364,102.636363636
1438,121,146,32,7,9.71428571429,-2.71428571429,723.0,758.428571429,-35.4285714286
1439,121,148,31,6,6.5,-0.5,728.0,747.0,-19.0
1440,121,148,34,2,3.0,-1.0,605.0,631.5,-26.5
1441,121,151,13,5,5.0,0.0,800.0,689.6,110.4
1442,121,151,30,6,8.16666666667,-2.16666666667,683.0,621.333333333,61.6666666667
1443,121,151,31,7,8.14285714286,-1.14285714286,638.0,660.0,-22.0
1444,121,151,33,4,5.0,-1.0,678.0,671.25,6.75
1445,121,152,31,7,8.57142857143,-1.57142857143,679.0,646.714285714,32.2857142857
