,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
0,65,136,27,1,2.0,-1.0,539.0,569.0,-30.0
1,66,136,27,2,2.0,0.0,569.0,558.5,10.5
2,67,108,31,0,,,547.0,,
3,67,136,27,3,3.33333333333,-0.333333333333,578.0,555.0,23.0
4,68,136,27,4,3.75,0.25,577.0,538.25,38.75
5,68,137,27,4,3.75,0.25,519.0,552.75,-33.75
6,69,136,27,4,3.5,0.5,510.0,537.75,-27.75
7,69,137,27,4,3.5,0.5,546.0,528.75,17.25
8,70,137,27,2,4.0,-2.0,509.0,528.0,-19.0
9,71,121,34,1,2.0,-1.0,454.0,506.0,-52.0
10,72,122,34,2,1.0,1.0,506.0,482.5,23.5
11,73,123,34,1,2.0,-1.0,511.0,506.0,5.0
12,74,178,34,0,,,374.0,,
13,75,122,37,1,1.0,0.0,497.0,524.0,-27.0
14,75,123,37,1,1.0,0.0,524.0,497.0,27.0
15,81,152,24,2,4.0,-2.0,464.0,522.0,-58.0
16,82,152,24,4,3.0,1.0,581.0,477.0,104.0
17,82,153,24,4,3.0,1.0,463.0,506.5,-43.5
18,83,121,18,4,6.25,-2.25,574.0,629.75,-55.75
19,83,122,18,5,5.8,-0.8,584.0,615.6,-31.6
20,83,123,18,5,5.6,-0.6,589.0,601.0,-12.0
21,83,124,18,5,4.8,0.2,550.0,591.4,-41.4
22,83,125,18,4,4.0,0.0,530.0,582.25,-52.25
23,83,152,24,3,3.66666666667,-0.666666666667,525.0,500.0,25.0
24,83,153,24,3,3.66666666667,-0.666666666667,456.0,523.0,-67.0
25,84,116,18,3,6.33333333333,-3.33333333333,551.0,622.0,-71.0
26,84,117,18,5,6.0,-1.0,618.0,612.2,5.8
27,84,117,28,0,,,511.0,,
28,84,118,18,5,6.8,-1.8,630.0,630.6,-0.6
29,84,119,18,5,6.8,-1.8,622.0,647.4,-25.4
30,84,120,18,6,6.16666666667,-0.166666666667,656.0,624.333333333,31.6666666667
31,84,121,18,7,5.57142857143,1.42857142857,652.0,599.0,53.0
32,84,122,18,7,5.28571428571,1.71428571429,627.0,590.428571429,36.5714285714
33,84,123,18,6,5.16666666667,0.833333333333,636.0,579.5,56.5
34,84,124,18,5,4.8,0.2,608.0,579.8,28.2
35,84,125,18,4,4.0,0.0,594.0,566.25,27.75
36,84,126,18,2,4.0,-2.0,577.0,562.0,15.0
37,85,116,18,6,6.0,0.0,632.0,595.5,36.5
38,85,117,18,8,6.125,1.875,616.0,598.5,17.5
39,85,118,18,8,6.5,1.5,632.0,609.25,22.75
40,85,119,18,8,6.0,2.0,665.0,620.875,44.125
41,85,120,18,7,6.0,1.0,654.0,625.714285714,28.2857142857
42,85,121,18,6,5.83333333333,0.166666666667,579.0,616.833333333,-37.8333333333
43,85,122,18,4,6.5,-2.5,519.0,623.5,-104.5
44,85,152,21,4,7.5,-3.5,475.0,587.75,-112.75
45,85,153,21,6,8.83333333333,-2.83333333333,531.0,546.166666667,-15.1666666667
