voxel_id,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
0,87,151,34,2,2.5,-0.5,665.0,666.0,-1.0
1,87,152,34,2,2.5,-0.5,674.0,661.5,12.5
2,88,141,34,2,5.5,-3.5,649.0,678.5,-29.5
3,88,142,34,4,4.5,-0.5,693.0,666.0,27.0
4,88,143,34,3,5.666666666669999,-2.66666666667,660.0,682.666666667,-22.6666666667
5,88,151,34,3,1.6666666666699999,1.33333333333,658.0,659.0,-1.0
6,89,142,34,7,4.71428571429,2.2857142857099997,664.0,680.142857143,-16.1428571429
7,89,143,34,6,5.5,0.5,691.0,687.0,4.0
8,89,151,34,1,3.0,-2.0,638.0,658.0,-20.0
9,89,160,25,2,5.0,-3.0,561.0,639.0,-78.0
10,89,169,26,1,3.0,-2.0,639.0,598.0,41.0
11,90,126,34,2,3.0,-1.0,726.0,762.0,-36.0
12,90,127,34,2,3.0,-1.0,734.0,758.0,-24.0
13,90,141,34,4,6.75,-2.75,688.0,700.75,-12.75
14,90,142,34,7,6.42857142857,0.5714285714289999,671.0,705.5714285710001,-34.5714285714
15,90,143,34,7,6.71428571429,0.28571428571400004,709.0,707.4285714289999,1.57142857143
16,90,144,34,5,6.0,-1.0,725.0,713.4,11.6
17,90,149,34,2,5.5,-3.5,680.0,703.5,-23.5
18,90,160,25,4,4.0,0.0,629.0,620.5,8.5
19,90,161,25,6,3.66666666667,2.33333333333,649.0,636.166666667,12.833333333299999
20,90,162,25,4,4.25,-0.25,690.0,652.75,37.25
21,90,170,26,3,1.6666666666699999,1.33333333333,598.0,619.333333333,-21.3333333333
22,91,127,34,4,2.0,2.0,790.0,747.25,42.75
23,91,141,34,5,6.4,-1.4,739.0,726.0,13.0
24,91,142,34,8,6.5,1.5,729.0,723.875,5.125
25,91,143,34,8,6.875,1.125,719.0,727.5,-8.5
26,91,144,34,6,6.166666666669999,-0.166666666667,753.0,718.166666667,34.8333333333
27,91,145,34,3,5.666666666669999,-2.66666666667,695.0,738.666666667,-43.6666666667
28,91,146,28,2,5.0,-3.0,774.0,794.5,-20.5
29,91,147,28,4,5.0,-1.0,798.0,764.75,33.25
30,91,147,34,3,6.333333333330001,-3.33333333333,693.0,689.333333333,3.66666666667
31,91,148,28,4,6.5,-2.5,727.0,769.75,-42.75
32,91,148,34,6,4.83333333333,1.16666666667,704.0,692.0,12.0
33,91,149,34,5,5.0,0.0,703.0,693.2,9.8
34,91,160,25,3,5.0,-2.0,625.0,641.666666667,-16.6666666667
35,91,161,25,5,4.2,0.8,647.0,651.6,-4.6
36,91,162,25,4,4.25,-0.25,665.0,659.0,6.0
37,91,163,25,2,4.0,-2.0,650.0,677.5,-27.5
38,91,169,26,2,2.5,-0.5,627.0,595.0,32.0
39,91,170,26,2,2.5,-0.5,592.0,612.5,-20.5
40,92,127,34,2,3.0,-1.0,782.0,768.5,13.5
41,92,128,34,2,3.0,-1.0,747.0,786.0,-39.0
42,92,141,34,5,6.0,-1.0,770.0,741.0,29.0
43,92,142,34,8,6.25,1.75,772.0,733.5,38.5
44,92,143,34,8,6.75,1.25,723.0,737.625,-14.625
45,92,144,34,6,6.166666666669999,-0.166666666667,738.0,723.166666667,14.833333333299999
46,92,147,28,6,6.0,0.0,791.0,764.666666667,26.3333333333
47,92,147,34,5,5.6,-0.6,673.0,689.4,-16.4
48,92,148,28,8,8.0,0.0,767.0,761.625,5.375
49,92,148,34,8,5.25,2.75,691.0,696.375,-5.375
50,92,149,28,8,8.75,-0.75,723.0,761.625,-38.625
51,92,149,34,6,5.833333333330001,0.166666666667,712.0,700.833333333,11.166666666700001
52,92,150,28,5,10.4,-5.4,713.0,786.0,-73.0
53,92,150,34,3,5.666666666669999,-2.66666666667,679.0,714.0,-35.0
54,93,141,34,3,6.333333333330001,-3.33333333333,724.0,761.0,-37.0
55,93,142,34,6,6.0,0.0,741.0,734.166666667,6.833333333330001
56,93,143,34,7,5.8571428571399995,1.14285714286,723.0,730.142857143,-7.1428571428600005
57,93,144,34,5,5.8,-0.8,726.0,719.0,7.0
58,93,147,34,4,6.5,-2.5,658.0,698.0,-40.0
59,93,148,27,9,10.3333333333,-1.33333333333,764.0,796.5555555560001,-32.5555555556
60,93,148,28,9,10.3333333333,-1.33333333333,758.0,797.2222222219999,-39.222222222199996
61,93,148,34,7,5.8571428571399995,1.14285714286,701.0,703.714285714,-2.7142857142900003
62,93,149,27,12,10.833333333299999,1.16666666667,722.0,813.75,-91.75
63,93,149,28,12,10.833333333299999,1.16666666667,810.0,806.416666667,3.58333333333
64,93,149,34,6,6.0,0.0,727.0,708.0,19.0
65,93,150,28,11,12.0,-1.0,832.0,828.545454545,3.45454545455
66,93,151,28,9,12.222222222200001,-3.22222222222,843.0,842.888888889,0.111111111111
67,93,152,28,8,12.25,-4.25,812.0,827.75,-15.75
68,93,152,34,3,4.66666666667,-1.6666666666699999,645.0,666.666666667,-21.6666666667
69,93,153,28,7,11.4285714286,-4.42857142857,748.0,819.0,-71.0
70,93,153,34,3,4.66666666667,-1.6666666666699999,651.0,664.666666667,-13.666666666700001
71,93,154,28,6,10.1666666667,-4.16666666667,733.0,816.5,-83.5
72,93,155,28,5,8.8,-3.8,736.0,821.0,-85.0
73,93,156,28,4,9.75,-5.75,708.0,820.75,-112.75
74,93,159,29,7,11.7142857143,-4.71428571429,770.0,794.4285714289999,-24.4285714286
75,93,160,29,6,12.0,-6.0,773.0,794.5,-21.5
76,93,160,34,1,1.0,0.0,674.0,657.0,17.0
77,94,126,35,0,,,682.0,,
78,94,134,34,1,1.0,0.0,705.0,719.0,-14.0
79,94,135,34,1,1.0,0.0,719.0,705.0,14.0
80,94,138,34,2,4.5,-2.5,705.0,718.5,-13.5
81,94,143,34,5,5.0,0.0,693.0,718.8,-25.8
82,94,144,34,3,5.666666666669999,-2.66666666667,718.0,714.0,4.0
83,94,146,27,2,5.5,-3.5,740.0,823.5,-83.5
84,94,148,27,10,11.5,-1.5,847.0,840.4,6.6
85,94,148,34,6,6.333333333330001,-0.33333333333299997,727.0,717.5,9.5
86,94,149,27,14,12.7857142857,1.2142857142899999,892.0,864.857142857,27.1428571429
87,94,149,28,14,12.7857142857,1.2142857142899999,859.0,867.214285714,-8.21428571429
88,94,149,34,6,6.833333333330001,-0.833333333333,738.0,718.666666667,19.3333333333
89,94,150,27,15,14.066666666700002,0.933333333333,857.0,888.866666667,-31.866666666700002
90,94,150,28,15,14.066666666700002,0.933333333333,943.0,883.133333333,59.8666666667
91,94,151,27,14,14.4285714286,-0.428571428571,815.0,901.5714285710001,-86.57142857139999
92,94,151,28,14,14.4285714286,-0.428571428571,937.0,892.857142857,44.1428571429
93,94,152,27,14,13.7142857143,0.28571428571400004,759.0,868.9285714289999,-109.928571429
94,94,152,28,14,13.7142857143,0.28571428571400004,918.0,857.5714285710001,60.428571428599994
95,94,152,34,6,5.33333333333,0.666666666667,680.0,664.5,15.5
96,94,153,27,13,13.0769230769,-0.0769230769231,721.0,849.615384615,-128.615384615
97,94,153,28,13,13.0769230769,-0.0769230769231,881.0,837.307692308,43.6923076923
98,94,153,34,5,5.2,-0.2,669.0,663.0,6.0
99,94,154,28,12,12.083333333299999,-0.08333333333330001,909.0,821.666666667,87.3333333333
100,94,155,28,11,11.3636363636,-0.363636363636,904.0,814.272727273,89.72727272729999
101,94,156,28,11,12.090909090899999,-1.09090909091,851.0,801.1818181819999,49.818181818199996
102,94,157,28,12,13.333333333299999,-1.33333333333,792.0,802.166666667,-10.1666666667
103,94,158,28,13,14.3846153846,-1.3846153846200002,754.0,821.461538462,-67.4615384615
104,94,158,29,11,14.7272727273,-3.72727272727,850.0,823.363636364,26.6363636364
105,94,159,28,14,14.0714285714,-0.07142857142860001,772.0,827.9285714289999,-55.928571428599994
106,94,159,29,13,14.2307692308,-1.23076923077,854.0,826.7692307689999,27.2307692308
107,94,160,28,12,14.666666666700001,-2.66666666667,731.0,838.166666667,-107.166666667
