voxel_id,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
84,78,160,33,8,16.25,-8.25,587.0,636.125,-49.125
85,78,161,21,16,14.875,1.125,559.0,571.8125,-12.8125
86,78,161,22,13,15.3846153846,-2.38461538462,593.0,565.769230769,27.2307692308
87,78,161,31,12,14.6666666667,-2.66666666667,674.0,629.833333333,44.1666666667
88,78,161,32,19,13.6842105263,5.31578947368,631.0,625.526315789,5.47368421053
89,78,161,33,12,16.25,-4.25,613.0,629.416666667,-16.4166666667
90,78,162,21,17,16.8823529412,0.117647058824,583.0,591.823529412,-8.82352941176
91,78,162,22,16,17.3125,-1.3125,585.0,581.25,3.75
92,78,162,32,18,14.2777777778,3.72222222222,683.0,623.0,60.0
93,78,162,33,14,15.3571428571,-1.35714285714,594.0,626.857142857,-32.8571428571
94,78,163,21,18,18.6666666667,-0.666666666667,615.0,610.111111111,4.88888888889
95,78,163,22,20,19.05,0.95,598.0,603.15,-5.15
96,78,163,23,14,18.9285714286,-4.92857142857,516.0,592.642857143,-76.6428571429
97,78,163,33,13,12.7692307692,0.230769230769,619.0,627.846153846,-8.84615384615
98,78,164,21,19,20.0526315789,-1.05263157895,653.0,630.842105263,22.1578947368
99,78,164,22,24,20.4166666667,3.58333333333,619.0,632.291666667,-13.2916666667
100,78,164,23,19,20.3684210526,-1.36842105263,625.0,610.210526316,14.7894736842
101,78,164,33,7,11.2857142857,-4.28571428571,631.0,625.0,6.0
102,78,165,21,20,20.3,-0.3,729.0,637.05,91.95
103,78,165,22,26,21.2692307692,4.73076923077,630.0,654.692307692,-24.6923076923
104,78,165,23,23,21.0434782609,1.95652173913,718.0,630.217391304,87.7826086957
105,78,165,24,14,19.7857142857,-5.78571428571,525.0,646.714285714,-121.714285714
106,78,166,21,19,20.5789473684,-1.57894736842,730.0,639.684210526,90.3157894737
107,78,166,22,25,21.92,3.08,652.0,658.72,-6.72
108,78,166,23,25,21.08,3.92,739.0,636.48,102.52
109,78,166,24,17,20.0,-3.0,659.0,646.235294118,12.7647058824
110,78,166,28,2,4.0,-2.0,694.0,702.5,-8.5
111,78,167,21,18,20.0,-2.0,663.0,634.777777778,28.2222222222
112,78,167,22,24,21.375,2.625,648.0,638.291666667,9.70833333333
113,78,167,23,25,20.68,4.32,652.0,630.64,21.36
114,78,167,24,18,20.1666666667,-2.16666666667,699.0,632.944444444,66.0555555556
115,78,167,28,4,3.5,0.5,668.0,688.0,-20.0
116,78,168,21,17,19.7647058824,-2.76470588235,627.0,628.176470588,-1.17647058824
117,78,168,22,22,21.2727272727,0.727272727273,634.0,626.772727273,7.22727272727
118,78,168,23,23,20.7826086957,2.21739130435,587.0,629.869565217,-42.8695652174
119,78,168,24,17,20.8235294118,-3.82352941176,638.0,633.117647059,4.88235294118
120,78,168,28,4,3.75,0.25,604.0,666.0,-62.0
121,78,169,21,17,19.5882352941,-2.58823529412,589.0,620.823529412,-31.8235294118
122,78,169,22,22,20.6818181818,1.31818181818,634.0,620.090909091,13.9090909091
123,78,169,23,22,20.7727272727,1.22727272727,648.0,629.363636364,18.6363636364
124,78,169,24,17,21.0,-4.0,636.0,634.117647059,1.88235294118
125,78,169,28,3,4.0,-1.0,542.0,645.333333333,-103.333333333
126,78,170,21,18,19.8888888889,-1.88888888889,571.0,599.5,-28.5
127,78,170,22,22,20.9545454545,1.04545454545,640.0,610.863636364,29.1363636364
128,78,170,23,22,21.0454545455,0.954545454545,673.0,631.590909091,41.4090909091
129,78,170,24,18,21.0555555556,-3.05555555556,669.0,641.333333333,27.6666666667
130,78,170,25,14,18.7142857143,-4.71428571429,561.0,627.428571429,-66.4285714286
131,78,171,19,8,14.125,-6.125,533.0,568.625,-35.625
132,78,171,20,14,16.7142857143,-2.71428571429,536.0,570.428571429,-34.4285714286
133,78,171,21,19,19.5263157895,-0.526315789474,534.0,574.526315789,-40.5263157895
134,78,171,22,23,20.1739130435,2.82608695652,599.0,584.391304348,14.6086956522
135,78,171,23,23,20.0434782609,2.95652173913,636.0,612.434782609,23.5652173913
136,78,171,24,19,20.1578947368,-1.15789473684,666.0,630.894736842,35.1052631579
137,78,171,25,15,18.1333333333,-3.13333333333,575.0,632.8,-57.8
138,78,171,26,9,17.1111111111,-8.11111111111,551.0,599.333333333,-48.3333333333
139,78,172,19,8,13.625,-5.625,544.0,563.75,-19.75
140,78,172,20,13,16.0769230769,-3.07692307692,532.0,562.0,-30.0
141,78,172,21,17,19.1176470588,-2.11764705882,512.0,560.411764706,-48.4117647059
142,78,172,22,20,19.95,0.05,534.0,570.7,-36.7
143,78,172,23,20,19.6,0.4,618.0,596.2,21.8
144,78,172,24,15,20.0,-5.0,604.0,628.266666667,-24.2666666667
145,78,172,26,9,15.3333333333,-6.33333333333,601.0,601.111111111,-0.111111111111
146,78,173,22,16,18.1875,-2.1875,514.0,558.25,-44.25
147,78,173,23,15,18.0666666667,-3.06666666667,575.0,577.4,-2.4
148,78,173,26,7,14.4285714286,-7.42857142857,573.0,599.0,-26.0
